school,sex,age,address,famsize,Pstatus,Medu,Fedu,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,Mjob_health,Mjob_other,Mjob_services,Mjob_teacher,Fjob_health,Fjob_other,Fjob_services,Fjob_teacher,reason_home,reason_other,reason_reputation,guardian_mother,guardian_other,pass
1,1,16,1,1,0,2,1,1,2,0,0,0,1,1,1,1,1,1,5,3,4,1,1,2,8,False,True,False,False,False,True,False,False,False,True,False,True,False,1
1,1,17,1,0,1,4,2,1,4,0,0,1,1,1,1,1,1,0,4,2,3,1,1,4,6,False,False,False,True,False,False,True,False,False,False,True,True,False,1
1,1,18,1,1,1,3,3,1,2,0,0,0,0,1,1,1,1,0,5,3,4,1,1,4,0,False,False,True,False,False,False,True,False,True,False,False,True,False,0
1,1,15,1,0,0,3,4,1,2,0,1,0,0,1,1,1,1,1,5,3,2,1,1,1,0,False,True,False,False,False,True,False,False,True,False,False,True,False,1
0,0,18,0,1,1,3,2,2,1,1,0,1,0,0,0,1,1,0,2,5,5,5,5,5,10,False,True,False,False,False,True,False,False,False,False,False,True,False,1
1,0,17,0,1,1,1,3,3,2,1,0,1,0,1,1,1,1,0,5,2,4,1,4,5,20,False,True,False,False,False,True,False,False,False,False,False,False,False,0
1,0,16,1,1,1,2,3,2,1,0,0,0,0,0,1,1,1,0,5,3,3,1,1,3,0,False,True,False,False,False,True,False,False,True,False,False,False,False,1
1,1,18,1,1,1,4,3,1,3,0,0,1,1,1,1,1,1,1,4,3,4,1,1,5,9,False,True,False,False,False,True,False,False,False,False,False,True,False,0
0,0,18,1,0,1,4,4,2,3,0,0,0,1,0,1,1,1,1,4,2,2,2,2,5,0,False,False,False,True,False,False,True,False,False,True,False,True,False,1
1,1,15,1,0,1,4,3,1,2,0,1,0,0,1,1,1,1,1,4,4,4,2,4,2,0,False,False,True,False,False,False,True,False,False,False,True,False,False,1
1,1,18,1,1,1,2,2,1,3,0,0,1,1,0,1,1,1,0,4,3,3,1,2,2,5,False,False,False,False,False,False,False,False,False,True,False,True,False,1
0,0,18,0,0,1,3,2,3,1,0,0,0,0,0,0,1,1,0,4,4,1,3,4,5,0,False,False,True,False,False,True,False,False,False,False,False,True,False,1
1,0,16,1,0,1,2,1,1,2,0,0,0,1,1,1,1,1,1,4,2,3,1,2,5,0,False,True,False,False,False,True,False,False,False,False,False,True,False,1
1,0,19,0,1,1,3,3,1,2,1,0,0,0,1,1,1,0,1,4,5,3,1,2,5,0,False,True,False,False,False,False,True,False,False,False,True,False,False,1
1,1,19,1,1,1,3,3,1,2,2,0,1,1,1,1,1,1,0,4,3,5,3,3,5,15,False,True,False,False,False,False,True,False,True,False,False,False,True,0
1,1,16,1,0,1,3,1,1,2,0,1,1,0,0,1,1,0,0,3,3,3,2,3,2,4,False,True,False,False,False,True,False,False,True,False,False,False,False,0
0,1,19,1,0,1,3,2,2,2,2,0,0,0,1,1,1,0,1,3,2,2,1,1,3,4,False,False,True,False,False,False,True,False,True,False,False,False,True,0
1,1,17,1,1,1,3,2,1,2,0,0,0,0,1,0,1,1,0,5,3,4,1,3,3,10,False,True,False,False,False,True,False,False,False,False,False,True,False,1
0,0,19,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,3,2,3,3,3,5,5,False,True,False,False,False,False,False,False,False,False,False,False,False,0
1,0,17,0,1,1,3,4,3,2,0,0,0,0,0,1,1,0,0,5,4,5,2,4,5,0,False,False,False,False,False,True,False,False,False,False,False,True,False,0
1,1,18,1,0,1,2,2,1,2,0,0,0,0,1,0,1,1,1,4,3,3,1,1,2,0,False,True,False,False,False,True,False,False,True,False,False,False,True,0
1,1,18,1,1,1,2,4,1,2,1,0,1,1,1,1,1,1,0,4,4,3,1,1,3,8,False,False,True,False,False,False,False,False,False,False,True,False,True,1
1,1,16,1,1,1,4,4,1,2,0,0,1,1,0,1,1,1,1,4,4,2,1,1,3,0,True,False,False,False,True,False,False,False,False,False,True,True,False,1
1,1,16,1,1,1,4,3,1,2,0,0,0,1,1,1,1,1,1,1,3,2,1,1,1,10,False,False,False,True,False,True,False,False,False,True,False,True,False,1
1,0,18,0,0,1,3,3,1,2,1,0,1,0,0,1,1,1,1,4,3,3,1,3,5,8,False,True,False,False,False,False,True,False,False,False,False,True,False,0
1,0,15,1,0,1,3,3,1,2,0,0,0,0,1,0,1,1,0,5,3,2,1,1,2,0,False,True,False,False,False,True,False,False,False,False,False,True,False,1
1,1,19,1,1,1,2,1,1,3,1,0,0,1,1,1,1,1,1,4,3,4,1,3,3,4,False,False,True,False,False,False,True,False,True,False,False,False,True,1
1,1,17,1,1,1,1,1,1,2,0,0,1,0,0,0,1,1,0,5,3,3,1,1,3,4,False,False,False,False,False,True,False,False,False,False,False,False,False,0
1,1,15,1,1,1,4,4,2,1,0,0,0,0,1,1,1,1,0,4,3,2,1,1,5,0,False,False,False,True,False,False,False,True,False,False,False,True,False,1
1,1,15,1,0,0,3,3,1,1,0,0,0,1,0,1,1,1,0,5,3,4,4,4,1,6,False,True,False,False,False,True,False,False,False,True,False,True,False,1
1,0,15,1,1,1,3,4,1,1,0,0,0,0,0,1,1,1,0,3,4,3,1,2,4,6,False,True,False,False,False,True,False,False,False,False,True,False,False,1
1,0,16,1,0,0,4,4,1,2,0,0,1,0,0,1,1,0,0,4,1,3,3,5,5,18,False,False,False,True,True,False,False,False,False,False,True,True,False,0
0,1,18,1,1,1,2,3,2,1,0,0,1,1,0,1,1,1,1,5,2,3,1,2,4,0,False,False,False,False,False,False,True,False,False,False,False,False,False,1
1,1,17,0,1,1,3,4,1,3,0,0,1,1,1,0,1,1,0,4,3,4,2,5,5,0,False,False,False,False,False,False,True,False,False,False,False,False,False,1
1,0,15,0,1,1,3,2,2,2,2,1,1,0,0,1,1,1,1,4,4,4,1,4,3,6,False,True,False,False,False,True,False,False,False,False,False,True,False,0
